test | ERROR | 2022-07-06 14:53:06,035 | all tasks Invalid URL 'url/root': No scheme supplied. Perhaps you meant http://url/root?
test | ERROR | 2022-07-06 15:20:35,390 | all tasks Invalid URL 'url/root': No scheme supplied. Perhaps you meant http://url/root?
test | ERROR | 2022-07-06 15:21:12,301 | all tasks Invalid URL 'url/root': No scheme supplied. Perhaps you meant http://url/root?
test | ERROR | 2022-07-06 15:32:58,895 | all tasks Invalid URL 'url/root': No scheme supplied. Perhaps you meant http://url/root?
test | ERROR | 2022-07-06 15:34:31,223 | all tasks  - response - code: <MagicMock name='requests.get().status_code' id='2740704515152'> - text: <MagicMock name='requests.get().text' id='2740704582608'>
test | ERROR | 2022-07-06 15:37:11,709 | all tasks  - response - code: <MagicMock name='requests.get().status_code' id='1651950751840'> - text: <MagicMock name='requests.get().text' id='1651950789888'>
test | ERROR | 2022-07-06 15:42:43,318 | all tasks  - response - code: <MagicMock name='requests.get().status_code' id='3062152776480'> - text: <MagicMock name='requests.get().text' id='3062152875696'>
test | ERROR | 2022-07-06 15:42:50,603 | all tasks  - response - code: <MagicMock name='requests.get().status_code' id='3083735984752'> - text: <MagicMock name='requests.get().text' id='3083736016896'>
test | ERROR | 2022-07-06 15:43:26,820 | all tasks  - response - code: <MagicMock name='requests.get().status_code' id='1805216377456'> - text: <MagicMock name='requests.get().text' id='1805216409600'>
test | ERROR | 2022-07-06 15:43:36,716 | all tasks  - response - code: <MagicMock name='requests.get().status_code' id='1786956606064'> - text: <MagicMock name='requests.get().text' id='1786956638208'>
test | ERROR | 2022-07-06 15:43:48,135 | all tasks  - response - code: <MagicMock name='requests.get().status_code' id='2679303432816'> - text: <MagicMock name='requests.get().text' id='2679303464960'>
test | ERROR | 2022-07-06 15:46:40,180 | all tasks  - response - code: <MagicMock name='requests.get().status_code' id='2694870955488'> - text: <MagicMock name='requests.get().text' id='2694871191504'>
test | ERROR | 2022-07-06 15:50:15,606 | all tasks  - response - code: <MagicMock name='requests.get().status_code' id='2133960334048'> - text: <MagicMock name='requests.get().text' id='2133976252128'>
test | INFO | 2022-07-06 16:00:10,313 | Update task by id 123  - response - code: 200 - text: []
test | INFO | 2022-07-06 16:00:10,314 | task 123 has got priority 0
test | INFO | 2022-07-06 16:00:14,730 | Update task by id 123  - response - code: 200 - text: []
test | INFO | 2022-07-06 16:00:14,731 | task 123 has got priority 0
test | INFO | 2022-07-06 16:00:16,356 | Update task by id 123  - response - code: 200 - text: []
test | INFO | 2022-07-06 16:00:16,356 | task 123 has got priority 0
test | INFO | 2022-07-06 16:00:18,306 | Update task by id 123  - response - code: 200 - text: []
test | INFO | 2022-07-06 16:00:18,306 | task 123 has got priority 0
test | INFO | 2022-07-06 16:01:26,482 | Update task by id 123  - response - code: 200 - text: []
test | INFO | 2022-07-06 16:01:29,576 | task 123 has got priority 0
test | INFO | 2022-07-06 16:06:31,990 | Update task by id 123  - response - code: 200 - text: ok
test | INFO | 2022-07-06 16:06:31,990 | task 123 has got priority 0
test | ERROR | 2022-07-06 16:08:07,586 | Update task by id 123  - response - code: 400 - text: ok
test | INFO | 2022-07-06 16:08:07,586 | task 123 has got priority 0
test | INFO | 2022-07-06 16:08:09,925 | Update task by id 123  - response - code: 200 - text: ok
test | INFO | 2022-07-06 16:08:09,925 | task 123 has got priority 0
test | ERROR | 2022-07-06 16:12:27,759 | new task Invalid URL 'url/root': No scheme supplied. Perhaps you meant http://url/root?
test | ERROR | 2022-07-06 16:12:30,584 | new task Invalid URL 'url/root': No scheme supplied. Perhaps you meant http://url/root?
test | INFO | 2022-07-06 16:12:52,942 | Update task by id 123  - response - code: 200 - text: ok
test | INFO | 2022-07-06 16:12:52,943 | task 123 has got priority 0
test | ERROR | 2022-07-06 16:12:54,687 | new task Invalid URL 'url/root': No scheme supplied. Perhaps you meant http://url/root?
test | ERROR | 2022-07-06 16:15:03,340 | new task Invalid URL 'url/root': No scheme supplied. Perhaps you meant http://url/root?
test | DEBUG | 2022-07-06 16:16:00,671 | new task  - response - code: 201 - text: created
test | ERROR | 2022-07-06 16:18:24,097 | all tasks  - response - code: 404 - text: []
test | ERROR | 2022-07-06 16:21:31,577 | delete task <packages.todo.storage.task_bo.TaskBo object at 0x00000190E1540FA0> - response - code: 404 - text: not_found
test | INFO | 2022-07-06 16:21:32,256 | delete task <packages.todo.storage.task_bo.TaskBo object at 0x000001C1AE130FA0> - DONE
