main | DEBUG | 2022-06-30 21:31:56,039 | main started
task_db | INFO | 2022-06-30 21:31:56,044 | connection is opened
control | INFO | 2022-06-30 21:31:56,048 | The beginning.
control | DEBUG | 2022-06-30 21:31:56,049 | Request action ...
service | DEBUG | 2022-06-30 21:31:59,325 | action: 0
control | DEBUG | 2022-06-30 21:31:59,326 | ... choosen action: 0
control | DEBUG | 2022-06-30 21:31:59,328 | Request action ...
service | DEBUG | 2022-06-30 21:32:02,853 | action: 4
control | DEBUG | 2022-06-30 21:32:02,854 | ... choosen action: 4
service | INFO | 2022-06-30 21:32:02,855 | 2 tasks are exported
control | DEBUG | 2022-06-30 21:32:02,855 | Request action ...
service | DEBUG | 2022-06-30 21:32:06,356 | action: 5
control | DEBUG | 2022-06-30 21:32:06,357 | ... choosen action: 5
service | INFO | 2022-06-30 21:32:06,359 | 2 tasks are exported to json
control | DEBUG | 2022-06-30 21:32:06,359 | Request action ...
service | DEBUG | 2022-06-30 21:32:07,576 | action: 6
control | DEBUG | 2022-06-30 21:32:07,577 | ... choosen action: 6
control | INFO | 2022-06-30 21:32:07,577 | The End!
task_db | INFO | 2022-06-30 21:32:07,578 | connection is closed
